Tree_ID,PLOTID,DBH20,DBH24,SP,Status,cl
P81.B1.0,81,16.9,16.9,Ulm_spe,2 - zu THS,2
P81.B2.0,81,5.2,7.9,Ulm_spe,1 - Nein,2
P81.B3.0,81,6.5,9.5,Car_bet,1 - Nein,2
P81.B4.0,81,7.8,11.8,Ulm_spe,1 - Nein,2
P81.B5.0,81,48.7,49.7,Car_bet,1 - Nein,1
P81.B6.0,81,35.6,35.8,Car_bet,1 - Nein,2
P81.B7.0,81,28.6,29.6,Car_bet,1 - Nein,2
P81.B8.0,81,26.4,27.5,Car_bet,1 - Nein,2
P81.B9.0,81,23.6,24.7,Car_bet,1 - Nein,2
P81.B10.0,81,5.2,6.5,Til_spe,1 - Nein,2
P81.B11.0,81,6.3,7.9,Car_bet,1 - Nein,2
P81.B12.0,81,7.6,11.5,Til_spe,1 - Nein,2
P81.B13.0,81,7.9,10.6,Til_spe,1 - Nein,2
P81.B14.0,81,7.8,9.9,Til_spe,1 - Nein,2
P81.B15.0,81,111.6,112,Que_rob,1 - Nein,1
P81.B16.0,81,9.7,13.2,Ulm_spe,1 - Nein,2
P81.B17.0,81,84.3,85.5,Que_rob,1 - Nein,1
P81.B18.0,81,7.4,10.2,Ulm_spe,1 - Nein,2
P81.B19.0,81,5.2,6.8,Ulm_spe,1 - Nein,2
P81.B20.0,81,12.5,16,Ulm_spe,1 - Nein,2
P81.B21.0,81,5.6,6.8,Ulm_spe,1 - Nein,2
P81.B22.0,81,7.6,9.1,Til_spe,1 - Nein,2
P81.B23.0,81,5.2,5.8,Ulm_spe,1 - Nein,2
P81.B24.0,81,110,111.5,Que_rob,1 - Nein,1
P81.B25.0,81,6.8,8.5,Ulm_spe,1 - Nein,2
P81.B26.1,81,15.6,17.6,Ulm_spe,1 - Nein,2
P81.B26.2,81,7.2,7.9,Ulm_spe,1 - Nein,2
P81.B27.0,81,12.2,13.8,Ulm_spe,1 - Nein,1
P81.B28.0,81,6.8,7,Ulm_spe,4 - zu THL,2
P81.B29.0,81,86.5,0,Fra_exc,4 - zu THL,1
P81.B30.0,81,7.5,9.4,Ulm_spe,5 - BAUM Neu,2
P81.B32.0,81,12.7,16,Ulm_spe,1 - Nein,2
P81.B33.0,81,5,0,Ulm_spe,2 - zu THS,2
P81.B34.0,81,15.3,20,Ulm_spe,1 - Nein,2
P81.B35.0,81,7,8,Ulm_spe,1 - Nein,2
P81.B36.0,81,8.5,6.1,Ulm_spe,1 - Nein,2
P81.B38.0,81,7,12,Til_spe,1 - Nein,2
P81.B39.0,81,14.9,29,Ulm_spe,1 - Nein,1
P81.B40.0,81,11,12.1,Ulm_spe,1 - Nein,2
P81.B41.0,81,13.2,13.5,Ace_pse,1 - Nein,1
P81.B42.0,81,9.6,10.2,Ace_pse,1 - Nein,2
P81.B43.0,81,11.3,16.3,Ulm_spe,1 - Nein,1
P81.B44.0,81,14.1,0,Ulm_spe,2 - zu THS,2
P81.B45.0,81,5.2,7.6,Til_spe,1 - Nein,2
P81.B46.0,81,7.8,13.1,Til_spe,1 - Nein,2
P81.B47.1,81,16.5,20.5,Ulm_spe,1 - Nein,1
P81.B47.2,81,5.3,6.6,Ulm_spe,1 - Nein,2
P81.B48.1,81,13,0,Ulm_spe,2 - zu THS,1
P81.B48.2,81,10,0,Ulm_spe,2 - zu THS,2
P81.B49.0,81,6,8,Til_spe,1 - Nein,2
P81.B50.0,81,6.5,7,Car_bet,1 - Nein,2
P81.B51.0,81,33.3,34.9,Que_rob,1 - Nein,1
P81.B52.0,81,5.6,7.4,Til_spe,1 - Nein,2
P81.B53.0,81,7.2,0,Ace_pse,2 - zu THS,2
P81.B54.0,81,7.3,13.6,Til_spe,1 - Nein,2
P81.B55.0,81,11.3,12.4,Ace_pse,1 - Nein,2
P81.B56.0,81,8.9,8.5,Ace_pse,1 - Nein,2
P81.B57.0,81,8.2,12.6,Ulm_spe,1 - Nein,2
P81.B58.0,81,7.7,11.8,Ulm_spe,1 - Nein,2
P81.B59.0,81,7.4,0,Ulm_spe,4 - zu THL,2
P81.B60.0,81,5.9,8.1,Til_spe,1 - Nein,2
P81.B61.0,81,7,9.4,Til_spe,1 - Nein,2
P81.B62.0,81,32.1,33.7,Que_rob,1 - Nein,1
P81.B63.0,81,10.1,11.4,Ace_pla,1 - Nein,1
P81.B64.0,81,35.7,36.8,Til_spe,1 - Nein,1
P81.B65.0,81,49.8,51.9,Que_rob,1 - Nein,1
P81.B66.0,81,28.4,29.9,Til_spe,1 - Nein,1
P81.B67.0,81,43.1,44.1,Que_rob,1 - Nein,1
P81.B68.0,81,5,6.1,Til_spe,1 - Nein,2
P81.B69.0,81,6,6.9,Til_spe,1 - Nein,1
P81.B70.0,81,5,6.5,Til_spe,1 - Nein,2
P81.B72.0,81,8.1,9.3,Til_spe,1 - Nein,2
P81.B73.0,81,5.1,6.1,Til_spe,1 - Nein,2
P81.B74.0,81,7.4,9,Til_spe,1 - Nein,2
P81.B75.0,81,7.6,9.2,Til_spe,1 - Nein,2
P81.B77.0,81,8.1,9.2,Ulm_spe,1 - Nein,2
P81.B78.0,81,8.9,11.2,Til_spe,1 - Nein,2
P81.B79.0,81,5,5,Til_spe,1 - Nein,2
P81.B80.0,81,6.8,8.1,Til_spe,1 - Nein,2
P81.B81.0,81,50.2,51.5,Que_rob,1 - Nein,1
P81.B82.0,81,7.8,8.8,Til_spe,1 - Nein,2
P81.B83.0,81,5.2,6.5,Til_spe,1 - Nein,2
P81.B84.0,81,8.4,9.1,Til_spe,1 - Nein,2
P81.B85.0,81,7.5,8.8,Til_spe,1 - Nein,2
P81.B86.0,81,12.6,15.2,Til_spe,1 - Nein,2
P81.B87.0,81,6.6,7,Til_spe,1 - Nein,2
P81.B88.0,81,5.7,6.3,Til_spe,1 - Nein,2
P81.B89.0,81,6.8,6.5,Til_spe,1 - Nein,2
P81.B90.0,81,8.4,9.8,Til_spe,1 - Nein,2
P81.B91.0,81,6.5,6.3,Til_spe,1 - Nein,2
P81.B92.0,81,7.1,8.8,Til_spe,1 - Nein,2
P81.B93.0,81,10.7,12.5,Ulm_spe,1 - Nein,2
P81.B94.0,81,70,70.6,Que_rob,1 - Nein,1
P81.B95.0,81,5.6,7.6,Til_spe,1 - Nein,2
P81.B96.0,81,14.9,18,Til_spe,1 - Nein,1
P81.B97.0,81,5.5,6.5,Ulm_spe,1 - Nein,2
P81.B98.0,81,5.6,6.9,Ulm_spe,1 - Nein,2
P81.B99.0,81,6.1,8.2,Car_bet,1 - Nein,2
P81.B100.0,81,9.1,8.9,Til_spe,1 - Nein,2
P81.B101.0,81,5,6.4,Car_bet,1 - Nein,2
P81.B102.0,81,11.4,14.2,Til_spe,1 - Nein,2
P81.B103.0,81,11.3,13.5,Til_spe,1 - Nein,2
P81.B104.0,81,5,6.1,Car_bet,1 - Nein,2
P81.B105.0,81,11,11.6,Ulm_spe,1 - Nein,2
P81.B106.0,81,21.5,21.5,Car_bet,1 - Nein,2
P81.B107.0,81,27,26.9,Car_bet,1 - Nein,2
P81.B108.0,81,38.4,38.5,Car_bet,1 - Nein,1
P81.B109.0,81,29.7,30.3,Car_bet,1 - Nein,1
P81.B110.0,81,27.8,28.2,Car_bet,1 - Nein,1
P81.B111.0,81,34.3,35.5,Car_bet,1 - Nein,1
P81.B112.0,81,28.2,28.7,Car_bet,1 - Nein,2
P81.B113.0,81,39.8,41,Que_rob,1 - Nein,1
P81.B114.0,81,27.2,27.5,Que_rob,1 - Nein,1
